naziv,iso_3116_alpha_3,glavni_grad,jezici,valuta,pozivni_broj,top_level_domena,naziv_himne,povrsina,strana_voznje,wikipedia_handle
Palau,PLW,Ngerulmud,"[{""iso_639"":""eng"",""naziv"":""engleski""},{""iso_639"":""pau"",""naziv"":""palauski""},{""iso_639"":""jpn"",""naziv"":""japanski""},{""iso_639"":""tox"",""naziv"":""tobijski""},{""iso_639"":""sov"",""naziv"":""sonsorolezijski""}]",USD,+680,.pw,Belau rekid,459,desna,Palau
Gabon,GAB,Libreville,"[{""iso_639"":""fra"",""naziv"":""francuski""}]",XAF,+241,.ga,La Concorde,267667,desna,Gabon
